Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	Final_Chosen_Short_Def
aalglad	adjectief	3.0	558	229439	 handig;  sluw;  niet onderuit te halen;  communicatief zeer sterk;  leugenachtig	geslepen; niet te vangen	niet te vangen
aalglad	adjectief	4.0	558	229448	gelikt;  vloeiend;  soepel lopend;  goed in elkaar zittend;  soms ook: te gelikt en snel in elkaar gezet waardoor het oppervlakkig en expressieloos wordt	(te) gelikt; gemakkelijk	(te) gelikt
aaltje	substantief	1.0	229387	229388	microscopisch klein wormpje dat meestal in de bodem van organische stof leeft, maar soms ook parasitair op planten of dieren leeft;  rondworm, zoals het azijnaaltje, het in de grond levende aaltje Caenorhabditis elegans, de aardappelaantastende Globodera rostochiensis of de tegen slakken bruikbare nematode Phasmashaditis hermaphrodita	rondworm; nematode	rondworm
aaltje	substantief	2.0	229387	229392	 glasaal;  ook: klein visje	kleine aal; kleine vis	kleine aal
aanbakken	werkwoord	1.0	607	946591	door een te hoge temperatuur of te lange bereidingstijd zich tijdens het bereiden aan de pan, aan de ovenplaat e.d. vasthechten;  zwart worden door te lang of te langdurig bakken, waardoor het niet of nauwelijks meer eetbaar is;  enigszins aanbranden zich ergens aan vasthechten	zich vasthechten aan de pan zich ergens aan vasthechten; vastkoeken	zich vasthechten aan de pan zich ergens aan vasthechten
aanbakken	werkwoord	3.0	607	608	 door kortstondige verhitting in olie, boter of vet (enigszins) gaar en eetbaar maken	korte tijd bakken; lichtjes bakken	korte tijd bakken
aangebrand	adjectief	2.0	890	213868	op of iets over de grens van de welvoeglijkheid;  ook: dubbelzinnig en betrekking hebbend op het seksuele;  choquerend;  pikant	gewaagd; schuin	gewaagd
aantrekkelijk	adjectief	1.0	1603	889246	in de smaak vallend door bepaalde positieve eigenschappen;  verleidelijk;  aanlokkelijk waartoe men zich aangetrokken voelt omdat men er enig voordeel kan uithalen;  waarop men graag ingaat;  verleidelijk in financieel of economisch opzicht waartoe men zich aangetrokken voelt in lichamelijk opzicht;  mooi of verleidelijk om te zien;  knap waar men graag naartoe trekt;  waar men graag vertoeft;  mooi, prettig of gunstig in economisch opzicht de aandacht prikkelend;  boeiend	aanlokkelijk verleidelijk in financieel opzicht verleidelijk in lichamelijk opzicht waar men graag naartoe trekt boeiend; leuk; interessant	
aantrekkelijk	adjectief	1.4	1603	562642	de aandacht prikkelend	boeiend; leuk; interessant	interessant
aanvoerder	substantief	1.0	1701	550153	degene die een groep of beweging leidt en vaak ook vertegenwoordigt;  degene die een groep of beweging aanvoert;  leider;  ook: instantie die een groep aanvoert, zoals een land of een bedrijf iemand die een militaire groep aanvoert;  leider van een militaire groep;  militair aanvoerder iemand die een muzikaal gezelschap aanvoert, variërend van een klassiek gezelschap tot een popbandje;  leidend musicus;  frontman politiek aanvoerder, die aanhangers naar de partij trekt;  lijsttrekker	persoon die een groep aanvoert militair aanvoerder leidend musicus; frontman lijsttrekker	persoon die een groep aanvoert militair aanvoerder leidend musicus
aanvoerder	substantief	3.0	1701	550154	degene die of datgene wat het hoogste op een ranglijst staat;  koploper hoogst genoteerde sporter die een land vertegenwoordigt;  best presterende sporter, die soms daarom aan een bepaalde wedstrijd mag meedoen of in een team bepaalde privileges geniet	hoogst genoteerde; koploper hoogst genoteerde sporter; kopman	koploper hoogst genoteerde sporter
aanvoerder	substantief	6.0	1701	550184	spier in een gewricht die een lichaamsdeel zoals een been of een teen in zijwaartse richting naar het lichaam toetrekt	aanvoerende spier; adductor	aanvoerende spier
aanvoerder	substantief	1.2	1701	550220	iemand die een muzikaal gezelschap aanvoert, variërend van een klassiek gezelschap tot een popbandje	leidend musicus; frontman	leidend musicus
aanvoerder	substantief	3.1	1701	551184	hoogst genoteerde sporter die een land vertegenwoordigt;  best presterende sporter, die soms daarom aan een bepaalde wedstrijd mag meedoen of in een team bepaalde privileges geniet	hoogst genoteerde sporter; kopman	hoogst genoteerde sporter
abdicatie	substantief	2.0	2116	2118	afstand van een leidende positie of een machtspositie, bijvoorbeeld door een toonaangevend individu, een gezagvoerder of gezagvoerend orgaan;  het vrijwiliig afstand doen van iets, vooral van verantwoordelijkheid of bepaalde rechten;  vervolgens figuurlijk ook: het niet optreden zoals redelijkerwijs verwacht mocht worden;  het verstek laten gaan;  het in gebreke blijven	afstand van een machtspositie; verzaking	afstand van een machtspositie
abdiceren	werkwoord	2.0	450069	943091	afstand doen van iets anders dan de kroon, vooral van een leidende positie of een machtspositie;  vrijwillig afstand doen van iets, vooral van verantwoordelijkheid of bepaalde rechten;  vervolgens figuurlijk ook: niet optreden zoals redelijkerwijs verwacht mocht worden;  verstek laten gaan;  in gebreke blijven	afstand doen van een machtspositie; verzaken	afstand doen van een machtspositie
abdiqueren	werkwoord	2.0	430764	943114	afstand doen van iets anders dan de kroon, vooral van een leidende positie of een machtspositie;  vrijwillig afstand doen van iets, vooral van verantwoordelijkheid of bepaalde rechten;  vervolgens figuurlijk ook: niet optreden zoals redelijkerwijs verwacht mocht worden;  verstek laten gaan;  in gebreke blijven	afstand doen van een machtspositie; verzaken	afstand doen van een machtspositie
aberratie	substantief	3.0	2159	2160	iets dat afwijkt of afdwaalt van wat normaal gevonden wordt	afwijking; afdwaling	afwijking
abri	substantief	2.0	2336	567464	kleine ruimte die eruitziet als een bushokje waar men mag roken bij een openbare gelegenheid;  rokersabri	rookcabine; rokershokje	rokershokje
Absurdistan	substantief	1.0	391215	551066	(fictieve benaming voor een) land dat of plaats die er - naar het oordeel van de spreker of schrijver - absurde gewoonten, zeden, wetten, gebruiken e.d. opna houdt;  land of plaats vol absurditeiten	absurd land; absurd plaats	absurd plaats
achterlijk	adjectief	A.3.0	2846	570830	 idioot;  dwaas;  mal;  bespottelijk	belachelijk; stom	
ad hoc	adjectief	1.0	363022	364052	(Latijn) voor deze zaak;  voor het onderhavige geval;  voor dit speciale doel;  bij een bepaalde gelegenheid of bepaalde kwestie	voor deze zaak; voor de gelegenheid	voor de gelegenheid
adelbrief	substantief	2.0	3380	518048	iets wat als het ware een bewijs van adeldom is;  iets wat een krachtige aanbeveling inhoudt voor de betrokken persoon of zaak;  dat wat als het ware een aanbevelingsbrief is	bewijs van kundigheid; eretitel	bewijs van kundigheid
advocaat	substantief	1.0	3679	3680	jurist die voor zijn beroep in rechtszaken een partij bijstaat of deze als strafpleiter voor de rechter verdedigt	verdedigend jurist; raadsman	verdedigend jurist
aftaaien	werkwoord	1.0	398168	935431	min of meer plotseling ophouden met een activiteit en weggaan;  (plotseling) stoppen met iets;  (plotseling) vertrekken;  afnokken (in pregnant gebruik) uit deze wereld weggaan;  doodgaan;  sterven	stoppen met iets; weggaan sterven; overlijden	stoppen met iets
aftaaien	werkwoord	1.1	398168	935432	(in pregnant gebruik) uit deze wereld weggaan;  doodgaan	sterven; overlijden	overlijden
aftrap	substantief	2.0	4889	630617	(officiële, van tevoren vastgestelde) start van iets, zoals een project, een campagne, een festiviteit e.d.	start; opening; kick-off	kick-off
afwezig geven	verbinding	1.0	904794	904796	niet optreden, niet opdagen of niet reageren waar dat verwacht kan worden;  zich afmelden;  bedanken voor	verstek laten gaan; niet thuis geven	verstek laten gaan
afzonderlijk	adjectief	2.0	5313	576457	van andere soortgelijke zaken of personen onderscheiden of afgescheiden door een bijzonder karakter;  specifiek	speciaal; bijzonder	bijzonder
agenda	substantief	2.0	5343	613263	lijst van tijdens een vergadering te bespreken onderwerpen;  vergaderagenda gebied, onderwerp dat iemands bijzondere aandacht heeft of waarop hij zich richt;  aandachtsgebied;  interesse;  bedoeling;  beleidskoers	lijst van te bespreken punten aandachtsgebied; missie; koers	lijst van te bespreken punten aandachtsgebied
agenda	substantief	2.1	5343	614230	gebied, onderwerp dat iemands bijzondere aandacht heeft of waarop hij zich richt;  interesse;  bedoeling;  beleidskoers	aandachtsgebied; missie; koers	aandachtsgebied
agent	substantief	A.3.0	5354	5356	iemand die voor zijn beroep een bedrijf of persoon vertegenwoordigt en diens zakelijke belangen behartigt	vertegenwoordiger; tussenpersoon	vertegenwoordiger
agoog	substantief	1.0	5417	5418	iemand die zich voor zijn beroep toelegt op de opvoeding en vorming van personen die maatschappelijk en cultureel ondersteuning en begeleiding nodig hebben	vormingswerker; welzijnswerker	vormingswerker
aldra	bijwoord	1.0	442301	934127	al binnen korte tijd;  alras;  binnenkort	al spoedig; weldra	al spoedig
allejezus	bijwoord	B.1.0	5992	523943	 zeer	allemachtig; buitengewoon	
alras	bijwoord	1.0	6211	6212	al binnen korte tijd;  aldra;  binnenkort	al spoedig; weldra	al spoedig
als de donder	verbinding	1.0	354703	354704	 ook: direct;  meteen;  onmiddellijk;  ogenblikkelijk;  per direct	zeer snel; razendsnel	
als een tierelier	verbinding	1.0	951685	952016	 in hoge mate;  heel heftig;  heel hard	heel erg; zeer hevig; zeer fel	zeer hevig
als een tierelier	verbinding	2.0	951685	952017	 uitermate succesvol	zeer goed; zeer voorspoedig	zeer voorspoedig
alsmede	voegwoord	1.0	6223	6224	 alsook	zoals ook; evenals	
alsook	voegwoord	1.0	6229	6230	 alsmede	zoals ook; evenals	
anker	substantief	7.0	7408	313731	vaste presentator of presentatrice in een televisiejournaal of een ander actualiteitenprogramma, die ook contacten onderhoudt met verslaggevers buiten de studio;  journalist die in televisie-uitzendingen of op de radio werkt;  nieuwslezer of presentator van een nieuwsrubriek	nieuwslezer; nieuwspresentator	nieuwspresentator
ankerman	substantief	1.0	313114	313119	vaste presentator of presentatrice in een televisiejournaal of een ander actualiteitenprogramma, die ook contacten onderhoudt met verslaggevers buiten de studio;  journalist die in televisie-uitzendingen of op de radio werkt;  nieuwslezer of presentator van een nieuwsrubriek;  anchorman;  anker;  nieuwsanker	nieuwslezer; nieuwspresentator	nieuwspresentator
annonceren	werkwoord	3.0	7435	7438	bij biljartspelen: een bepaalde spelsituatie of stand luid en duidelijk uitspreken;  van een scheidsrechter in het carambole: het aantal gemaakte caramboles van een speler aankondigen aan de schrijver die de punten noteert, of aankondigen dat een speler tot op vijf caramboles van het einde van de partij is gekomen, of aankondigen of de ballen wel of niet vastliggen;  van een speler in het poolen: vooraf aankondigen welke bal men in welk gat zal spelen	een annonce uitspreken; callen	een annonce uitspreken
anti-judaïsme	substantief	1.0	7617	7618	afkeer van alles wat met het Joods-zijn te maken heeft;  ook: beweging met een afkeer van alles wat met het Joods-zijn te maken heeft	het anti-Joods-zijn; anti-Joodse beweging	anti-Joodse beweging
apaiseren	werkwoord	1.0	442810	940100	tot rust brengen;  tot bedaren brengen;  doen bedaren	rustig maken; kalmeren	rustig maken
apotheker	substantief	1.0	8232	8233	iemand die voor zijn beroep in een apotheek medicijnen verkoopt die ofwel kant-en-klaar door de farmaceutische fabriek worden aangeleverd, ofwel ter plekke door de apotheker worden gemaakt en die op recept door een arts voorgeschreven kunnen zijn winkel waar door een apotheker al dan niet op recept verstrekte geneesmiddelen worden verkocht, die hetzij kant-en-klaar door de farmaceutische fabriek worden aangeleverd, hetzij ter plekke door de apotheker en/of de apothekersassistenten worden bereid;  apotheek gebouw waar een apotheker werkt en waar al dan niet op recept verstrekte geneesmiddelen kunnen worden verkocht, die hetzij kant-en-klaar door de farmaceutische fabriek worden aangeleverd, hetzij ter plekke door de apotheker en/of de apothekersassistenten worden bereid;  gebouw waarin een apotheek gevestigd is	iemand die medicijnen verkoopt winkel van apotheker; apotheek gebouw waar apotheker werkt	iemand die medicijnen verkoopt winkel van apotheker
apotheker	substantief	1.1	8232	363690	winkel waar door een apotheker al dan niet op recept verstrekte geneesmiddelen worden verkocht, die hetzij kant-en-klaar door de farmaceutische fabriek worden aangeleverd, hetzij ter plekke door de apotheker en/of de apothekersassistenten worden bereid	winkel van apotheker; apotheek	winkel van apotheker
Arabische luit	verbinding	1.0	901465	901468	tokkelinstrument in de Arabische muziek met een peervormige klankkast, met twaalf snaren en zonder frets, dat de voorvader is van de Europese luit	Arabisch tokkelinstrument; oed	Arabisch tokkelinstrument
arco	substantief	2.0	9014	9016	wijze van vioolspelen waarbij met de strijkstok gestreken wordt	arcotechniek; arcospel	arcotechniek
arco	substantief	3.0	9014	9017	noot of passage uit een muziekstuk, waarbij met de strijkstok gestreken wordt	arconoot; arcopassage	arcopassage
aubergine	adjectief	4.0	10287	10289	 auberginepaars;  auberginekleurig	dieppaars; donkerpaars	
baars	substantief	1.0	11700	11701	gestreepte zoetwatervis met stekelige en oranjerode vinnen die tot de familie van de echte baarzen hoort;  rivierbaars;  rode baars consumptievis uit de orde der baarsachtigen;  baars als voedsel, als ingrediënt voor een gerecht	gewone baars; rode baars baars als voedsel	rode baars baars als voedsel
baas	substantief	2.0	11765	519727	iemand die een hond heeft en daarvoor zorgt;  baas van een hond;  hondenbezitter;  baasje eigenaar van een huisdier in het algemeen;  iemand die een ander huisdier heeft dan een hond, vaak een kat maar ook bijv. een knaagdier of een vogel, en daarvoor zorgt	hondeneigenaar; hondenbezitter eigenaar van een ander huisdier	hondenbezitter eigenaar van een ander huisdier
baasje	substantief	2.0	319885	514657	 ook: directeur van een kleine onderneming	baas; chef	baas
baasje	substantief	4.0	319885	514648	kleine jongen;  jongetje	ventje; jochie	ventje
balken	werkwoord	2.0	12308	230599	een op het balken van ezels lijkend geluid voortbrengen;  roepen: schreeuwen	huilen; roepen	huilen
banaan	substantief	1.0	12510	12511	langwerpige, iets kromme vrucht van de bananenboom, meestal met een gele schil en crèmewit, zacht vruchtvlees banaan met een hoog zetmeelgehalte die voor consumptie gebakken of gekookt wordt;  bakbanaan	langwerpige, kromme vrucht met gele schil bakbanaan; kookbanaan banaan  als stof	langwerpige, kromme vrucht met gele schil bakbanaan
banaan	substantief	2.0	12510	12512	boomachtige plant uit het geslacht Musa, waaraan bananen groeien	bananenplant; bananenboom	bananenplant
banaan	substantief	1.1	12510	492013	banaan met een hoog zetmeelgehalte die voor consumptie gebakken of gekookt wordt	bakbanaan; kookbanaan	kookbanaan
bandiet	substantief	3.0	12588	12591	iemand die ondeugende streken uithaalt	schavuit; deugniet	schavuit
bebroeden	werkwoord	1.0	13734	941329	 al broedend bedekt houden van vogels van slangen van vissen van bijen	zitten broeden op; al broedend bedekt houden van vogels m.b.t. eieren of een nest van slangen m.b.t. eieren van vissen m.b.t. eitjes van bijen m.b.t. eitjes	
bedotten	werkwoord	1.0	13926	13927	 belazeren	voor de gek houden; bedriegen	
beetgaar	adjectief	1.0	14578	14579	slechts enige tijd gekookt, zodat er tijdens het eten nog wel op gebeten moet worden;  bijna gaar	slechts enige tijd gekookt; al dente	slechts enige tijd gekookt
beetgrijpen	werkwoord	2.0	394557	941450	een sterke indruk maken op;  bij de kladden grijpen	aangrijpen; emotioneren	emotioneren
beiderzijds	adjectief	1.0	415792	940406	 aan weerskanten aanwezig	aan beide kanten; aan weerskanten	aan beide kanten
beiderzijds	adjectief	2.0	415792	940407	 van weerskanten afkomstig	van beide kanten; van weerskanten	van beide kanten
belatafeld	adjectief	1.0	477598	940491	 betoeterd;  bedonderd	belazerd; gek	
belatafelen	werkwoord	1.0	431440	940479	 beduvelen	voor de gek houden; belazeren	
beleid	substantief	2.0	15878	920392	handelwijze die getuigt van een voorzichtige, weloverwogen strategie om iets te verwezenlijken;  werkwijze waarbij de nodige voorzichtigheid wordt betracht	omzichtigheid; overleg	omzichtigheid
beschermster	substantief	2.0	17510	17512	vrouwelijke heilige of vrouwelijke godheid die mensen door haar bovennatuurlijke macht of invloed behoedt voor gevaar, kwaad of onheil;  vrouwelijke beschermheilige;  vrouwelijke patroonheilige	vrouwelijke heilige; beschermgodin	vrouwelijke heilige
bevissen	werkwoord	1.0	18664	18665	gericht vissen in een specifiek water of op een bepaalde vissoort;  een specifiek gebied afvissen;  op een bepaalde vissoort vissen	gericht vissen; afvissen; vissen op	gericht vissen
bewering	substantief	1.0	19007	19008	dat wat beweerd wordt, hetzij mondeling, hetzij schriftelijk;  uitspraak die een mening of standpunt tot uiting brengt en al dan niet waar is;  dat wat, al dan niet terecht, als waarheid wordt voorgesteld of staande gehouden wordt;  uitspraak verklarende zin of uitspraak die waar of onwaar kan zijn	dat wat beweerd wordt uitspraak die waar of onwaar is; propositie	dat wat beweerd wordt uitspraak die waar of onwaar is
bewering	substantief	1.1	19007	919100	verklarende zin of uitspraak die waar of onwaar kan zijn	uitspraak die waar of onwaar is; propositie	uitspraak die waar of onwaar is
bezwadderen	werkwoord	1.0	19360	19361	(eigenlijk) bevuilen;  besmeuren;  oorspronkelijk: met een (lillende) vloeistof bezoedelen	bevuilen; bezoedelen	bezoedelen
bezwangeren	werkwoord	3.0	19362	889968	in de vorm  bezwangerd zijn : geheel en al doortrokken zijn van iets;  geheel en al gevuld zijn met is;  helemaal vol zijn van iets;  doordesemd zijn van iets	geheel en al vullen; doordesemen	geheel en al vullen
bikkelen	werkwoord	2.0	20479	20481	zich in een wedstrijd keihard inzetten;  hard en meedogenloos spelen ook buiten de sport: heel hard werken of een heel harde strijd voeren om iets	hard spelen hard werken; hard strijden	hard spelen hard werken
bikkelen	werkwoord	2.1	20479	20482	ook buiten de sport: heel hard werken of een heel harde strijd voeren om iets	hard werken; hard strijden	hard strijden
blaffer	substantief	3.0	21308	306311	revolver of pistool	revolver; pistool	revolver
blasé	adjectief	2.0	21384	21386	 aanmatigend;  verwaand;  blaaskakerig	pedant; zelfingenomen	
blij	adjectief	3.0	21774	582933	tevreden met iets of iemand;  verheugd over iets of iemand;  content;  tevreden;  verheugd	tevreden met; verheugd over	verheugd over
bloedzuiger	substantief	3.0	22091	301018	iemand die zich gedraagt op een wijze die doet denken aan een bloedzuiger, iemand die anderen uitbuit, uitzuigt, exploiteert	uitbuiter; uitzuiger	uitbuiter
bloem	substantief	5.0	22106	497084	het beste van het beste;  de besten in hun soort;  de elite fraaie passage in het werk van een schrijver;  fraaie literaire passage	het beste; de besten fraaie literaire passage	de besten fraaie literaire passage
boekhandelaar	substantief	1.0	22805	22806	iemand die voor zijn beroep boeken verkoopt	boekverkoper; boekwinkelier	boekwinkelier
bordeaux	adjectief	4.0	23929	23933	bruinrood, als de kleur van bordeauxwijn	bruinrood; bordeauxrood	bordeauxrood
bordeaux	substantief	5.0	23929	23934	de bruinrode kleur als van bordeaux	bruinrode kleur; bordeauxrood	bruinrode kleur
bouwmeester	substantief	2.0	24734	24736	architect in figuurlijk opzicht;  iemand die een onstoffelijk bouwsel tot stand heeft gebracht;  maker	(figuurlijk) maker; schepper	(figuurlijk) maker
bric-à-brac	substantief	2.0	466498	631888	(verzameling van) waardeloze spullen;  oude, goedkope rommel;  verzameling prullaria wanordelijke verzameling;  wirwar van uiteenlopende, al dan niet waardeloze, zaken;  rommeltje;  warboel;  zootje, zooitje	waardeloze spullen; prullaria rommeltje; zootje	prullaria rommeltje
bric-à-brac	substantief	2.1	466498	631914	wanordelijke verzameling;  wirwar van uiteenlopende, al dan niet waardeloze, zaken;  warboel;  zootje, zooitje	rommeltje; zootje	rommeltje
brigadier	substantief	4.0	25716	25718	vrijwilliger die kinderen helpt bij het oversteken;  verkeersbrigadier;  oversteekbrigadier iemand die voor zijn beroep of als vrijwilliger bij een maatschappelijke hulpinstantie of projectgroep (een specifiek soort brigade) werkt;  helper bij een brigade	klaar-over; verkeersbrigadier helper bij een brigade	verkeersbrigadier helper bij een brigade
broeder	substantief	1.0	25802	25803	iemand van het mannelijk geslacht, als bloedverwant beschouwd in relatie tot andere kinderen van dezelfde vader en moeder of van een van beide ouders	mannelijke bloedverwant; broer	mannelijke bloedverwant
bubbel	substantief	3.0	26629	26631	bobbel of bult op een oppervlak, bv. op de huid, op een materiaal enz.	bobbel; bult	bobbel
buitenwipper	substantief	1.0	27075	27076	iemand die zich ophoudt voor de ingang van een café, discotheek of (nacht)club die belast is met het inlaten en uitlaten van gasten	portier; uitsmijter	uitsmijter
buks	substantief	2.0	27130	540079	groenblijvende heester uit het geslacht Buxus, met name van de soort  Buxus sempervirens , die vaak als afscheiding van perken wordt gebruikt	buxus; buksboom	buksboom
bus	substantief	7.0	27522	225802	groot vierwielig motorvoertuig voor personenvervoer dat is voorzien van vele rijen achter elkaar geplaatste zitplaatsen en wordt ingezet voor openbaar vervoer, gezelschapsreizen, vervoer van personeel enz.;  autobus verbinding tussen het vertrekpunt van een bus en zijn eindhalte, als onderdeel van een vervoersnetwerk;  busverbinding;  buslijn plaats waar men de bus kan nemen;  opstapplaats van een buslijn;  bushalte busrit;  busritten groep achterblijvende wielrenners tijdens bergritten, die in hun eigen tempo rijden en als doel hebben om vóór het sluiten van de tijdcontrole binnen te zijn	autobus busverbinding bushalte busrit; busritten groepje achterblijvende wielrenners	busritten groepje achterblijvende wielrenners
bushokje	substantief	2.0	27537	567470	kleine ruimte zoals een abri waar men mag roken bij een openbare gelegenheid;  rokersabri	rookcabine; rokershokje	rokershokje
businessplan	substantief	1.0	27549	27550	plan voor de activiteiten en financiën van een onderneming op basis waarvan financiering aangevraagd kan worden en de onderneming gestart wordt	ondernemingsplan; industrieel plan	ondernemingsplan
cabaretier	substantief	1.0	27853	27854	iemand die voor zijn beroep cabaretvoorstellingen speelt;  kleinkunstenaar die grappen maakt en vaak ook liedjes zingt	cabaretartiest; kleinkunstenaar	kleinkunstenaar
calqueren	werkwoord	1.0	456785	943157	natekenen, overtrekken met behulp van speciaal daarvoor bestemd materiaal, vooral doorzichtig papier ( calqueerpapier ) of linnen	natekenen; overtrekken	overtrekken
cederen	werkwoord	A.1.0	445626	946224	afstaan en overdragen aan een derde partij (de  cessionaris );  overleveren (aan iemand anders of aan een instantie)	afstaan; overdragen	overdragen
chef	substantief	1.0	29692	29693	iemand die voor zijn beroep de leiding heeft en aan het hoofd van een organisatie, bedrijf of afdeling staat;  hoofd;  baas iemand die voor zijn beroep bij de politie werkt en aan het hoofd van een korps of afdeling staat;  politieagent die leiding geeft aan een afdeling;  chef bij de politie;  politiechef kok die aan het hoofd staat van een professionele keuken, bijvoorbeeld in een horecagelegenheid, cateringbedrijf of zorginstelling;  belangrijkste kok in een professionele keuken;  chef-kok leider van een gemeenschap of een volk, meestal in Afrika;  baas of leider van een groep mensen in Afrika	baas; hoofd politiechef chef-kok Afrikaanse leider; chief	hoofd politiechef chef-kok Afrikaanse leider
chef	substantief	1.3	29692	496374	leider van een gemeenschap of een volk, meestal in Afrika;  baas of leider van een groep mensen in Afrika	Afrikaanse leider; chief	Afrikaanse leider
Chinese luit	verbinding	1.0	901476	901483	tokkelinstrument uit China dat verwant is met de luit	tokkelinstrument uit China; pipa	tokkelinstrument uit China
chip	substantief	2.0	29864	508768	dun plakje of schijfje, bijvoorbeeld een snipper hout of een schijfje aardappel;  snipper;  splinter plastic of metalen schijfje of muntje dat in spellen als roulette en poker een bepaalde waarde vertegenwoordigt;  jeton	dun plakje of schijfje jeton; fiche	dun plakje of schijfje jeton
chip	substantief	2.1	29864	508774	plastic of metalen schijfje of muntje dat in spellen als roulette en poker een bepaalde waarde vertegenwoordigt	jeton; fiche	jeton
coach	substantief	3.0	30833	30835	autobus die is ingericht op vervoer over langere afstanden	reisbus; touringcar	touringcar
cobra	substantief	A.1.0	30882	30883	zeer giftige slang uit Afrika en Zuid-Azië die bij gevaar zijn hals in de breedte kan uitzetten en die in verschillende soorten uit verschillende biologische geslachten voorkomt voorstelling van een cobra;  afbeelding van een cobra;  nagemaakte cobra religieus symbool dat eruitziet als een cobra en staat voor macht over de vruchtbaarheid en welvaart en dat vaak afgebeeld is op het voorhoofd van Egyptische goden en farao's;  vuurspuwende cobra	gifslang met uitzetbare hals voorstelling van een cobra religieus symbool; uraeus	gifslang met uitzetbare hals voorstelling van een cobra religieus symbool
cobra	substantief	B.1.0	30882	305384	collectief van kunstenaars uit Denemarken, België en Nederland uit de tweede helft van de twintigste eeuw dat bekendstaat om het teruggrijpen op basale en primitieve kunstvormen met in de schilderkunst duidelijke vormen en primaire, felle kleuren;  Cobragroep stroming in de kunst ontstaan door een samenwerkingsverband tussen kunstenaars uit Denemarken, België en Nederland uit de tweede helft van de twintigste eeuw die te herkennen is aan het teruggrijpen op basale en primitieve kunstvormen met in de schilderkunst duidelijke vormen en primaire, felle kleuren;  Cobrabeweging;  Cobrastijl	kunstenaarscollectief kunststroming; kunststijl	kunstenaarscollectief kunststroming
cobra	substantief	A.1.2	30882	305462	religieus symbool dat eruitziet als een cobra en staat voor macht over de vruchtbaarheid en welvaart en dat vaak afgebeeld is op het voorhoofd van Egyptische goden en farao's;  vuurspuwende cobra	religieus symbool; uraeus	religieus symbool
cobra	substantief	B.1.1	30882	305417	stroming in de kunst ontstaan door een samenwerkingsverband tussen kunstenaars uit Denemarken, België en Nederland uit de tweede helft van de twintigste eeuw die te herkennen is aan het teruggrijpen op basale en primitieve kunstvormen met in de schilderkunst duidelijke vormen en primaire, felle kleuren;  Cobrabeweging;  Cobrastijl	kunststroming; kunststijl	kunststroming
comparitie	substantief	1.0	31589	31590	speciale rechtszitting waarop partijen in een procedure verschijnen en die voor de rechtbank tot doel heeft meer inlichtingen over de zaak te krijgen of te proberen de partijen tot overeenstemming te laten komen;  verschijning van een partij voor een notaris, bv. om een akte te passeren	verschijning; rechtszitting	rechtszitting
concessiehouder	substantief	1.0	32184	32185	persoon of onderneming die van een producent toestemming heeft diens producten zelfstandig te verkopen;  ook: bedrijf met een dergelijke handelsactiviteit	concessionaris; dealer; verdeler	concessionaris
